d,obj_value,rand_index,adj_rand_index,variation_of_information
0.000000,0.000000,0.899717,0.000000,8.969097
100.000000,0.000000,0.899717,0.000000,8.969097
200.000000,0.000000,0.899717,0.000000,8.969097
300.000000,0.000000,0.899717,0.000000,8.969097
400.000000,-1160549.000000,0.899720,0.000057,8.954493
500.000000,-10552106.000000,0.899731,0.000270,8.911145
600.000000,-49575732.000000,0.899763,0.000841,8.841995
700.000000,-179477388.000000,0.899857,0.003065,8.736086
800.000000,-489798005.000000,0.900024,0.006040,8.630235
900.000000,-1228815480.000000,0.900353,0.012441,8.506316
1000.000000,-2876920243.000000,0.900934,0.023758,8.356982
1100.000000,-6393640166.000000,0.901700,0.038690,8.168950
1200.000000,-12966654624.000000,0.903031,0.064155,7.940237
1300.000000,-22606038361.000000,0.904308,0.087969,7.681504
1400.000000,-38753815520.000000,0.905591,0.112137,7.339451
1500.000000,-60842710093.000000,0.906947,0.138787,6.992223
1600.000000,-92634223613.000000,0.908499,0.171860,6.579459
1700.000000,-138411937853.000000,0.909488,0.204739,6.136517
1800.000000,-202951516866.000000,0.908750,0.237671,5.757113
1900.000000,-297449375125.000000,0.903759,0.257735,5.377691
2000.000000,-446818532206.000000,0.890951,0.264134,5.105526
2100.000000,-725474468769.000000,0.870868,0.272865,4.780004
2200.000000,-1181279059088.000000,0.826927,0.248229,4.626650
2300.000000,-2058488210429.000000,0.755797,0.223616,4.476236
2400.000000,-3546238746727.000000,0.667639,0.211455,4.315695
2500.000000,-5829527845519.000000,0.555330,0.198010,4.126536
2600.000000,-9115265466270.000000,0.442311,0.193390,3.868531
2700.000000,-13403349205425.000000,0.337779,0.187944,3.727241
2800.000000,-18705119864321.000000,0.241339,0.184528,3.602762
2900.000000,-24911242650833.000000,0.176854,0.183172,3.459481
3000.000000,-31782568788217.000000,0.138687,0.182448,3.407668
